"Sectors","Mexico_before","Mexico_after","Canada_before","Canada_after","U.S_before","U.S_after"
" Agriculture    ","4.72216843196751","3.1061829218201","4.99226821023638","5.03463327004747","6.90522131092459","6.28850699899334"
" Mining         ","15.526376188431","8.06310466266706","8.98654082843657","8.90797272765844","1.72104452345899","1.50166094795361"
" Food           ","2.32972220786258","1.50578908745949","4.81780863640948","4.69654824232936","5.09003162774027","4.69328546272268"
" Textile        ","4.42491364911027","7.15064512689238","1.05170344868275","1.47331019246616","2.67521809651696","3.44694388667844"
" Wood           ","0.587162263234641","0.531146897417067","8.11516847029814","8.03674463859279","2.02288843938244","1.9609231714535"
" Paper          ","0.61519579447449","0.527901622737367","8.33978001210382","8.40229246650484","4.98817393786513","4.8389753831862"
" Petroleum      ","1.61984562215889","5.69278792135199","0.58683603723925","0.752244447083474","4.30291733000385","5.54823984604817"
" Chemicals      ","4.39951241332088","2.57507560466692","5.58195013717","5.42093137248967","10.001553351109","9.17168452899213"
" Plastic        ","0.795320749718398","0.486253334342223","2.06235301254174","2.06755243069906","2.27889306700234","2.40539406482616"
" Minerals       ","1.31997190412932","0.851331442114469","0.806759666322538","0.781380293858905","0.940849856212068","0.908675893465979"
" Basic metals   ","3.24048884599747","2.03944637721562","10.2901226656436","10.2294970740185","3.04988307645231","3.08039549733713"
" Metal products ","1.22151916899966","1.04788282490534","1.46611492836603","1.53634643075013","2.23481509579889","2.57344683947893"
" Machinery nec  ","4.30116410824218","2.56931225015912","4.686628367776","4.51194436383553","10.3745957868359","9.62346237729419"
" Office         ","3.33524355132237","4.54062623064678","2.43587042257192","2.52225975595107","7.70041918185321","7.42738042187143"
" Electrical     ","20.7927793620368","33.3399857384928","2.50472651282962","2.37974144565262","6.06937760169587","8.58310859953668"
" Com            ","8.5654711435247","7.0426701300292","3.11464869364871","3.02064905161598","7.18823491098357","6.78020666124616"
" Medical        ","2.47653834719401","3.21601384238469","0.981058812993028","1.02995386089839","5.15907530130681","4.78902251323778"
" Auto           ","16.4280502968099","13.2199555965043","24.4218013475234","24.0842102756043","8.20314567542536","8.04755160439799"
" Other Transport","0.282417842813609","0.259494009704957","3.21010837506981","3.58518593431449","7.32110982657025","6.60750449063049"
" Other          ","3.01613810865133","2.23439437848815","1.54775141413719","1.52660172562876","1.77255200286215","1.72363081064901"
