"Sectors","ToT_Mexico","VoT_Mexico","ToT_Canada","VoT_Canada","ToT_USA","VoT_USA"
" Agriculture    ","-0.1288","2.865","3.411","-0.0133","3.41","0.6484"
" Mining         ","-3.0076","0.25","4.043","-0.2025","1.54","0.0421"
" Food           ","0.4512","1.169","3.558","2.3676","3.16","1.0403"
" Textile        ","3.3022","12.033","1.154","16.1943","4.32","22.2445"
" Wood           ","0.3042","2.263","4.172","0.2356","1.31","0.4127"
" Paper          ","0.3921","3.815","5.858","0.4925","2.83","0.3341"
" Petroleum      ","-0.0853","14.612","0.6","30.4099","1.85","11.3736"
" Chemicals      ","0.5701","2.152","5.74","0.0846","5.6","1.1055"
" Plastic        ","0.6163","4.206","2.533","7.557","1.61","0.3151"
" Minerals       ","0.047","0.731","0.932","0.4658","0.7","0.5716"
" Basic metals   ","1.0744","3.018","10.076","1.4761","3.4","1.0472"
" Metal products ","0.8979","5.558","2.225","7.9889","1.61","1.057"
" Machinery nec  ","3.6765","4.318","5.16","-0.0172","5.63","0.6473"
" Office         ","8.3671","4.724","2.318","-0.8246","3.5","1.4347"
" Electrical     ","41.2008","25.775","1.369","7.1803","24.19","42.2162"
" Com            ","20.9711","3.643","2.668","0.1465","11.61","4.5761"
" Medical        ","4.7248","1.343","0.94","-0.2313","3.48","4.457"
" Auto           ","13.7868","4.78","29.496","27.7658","15.85","4.4684"
" Other Transport","0.2095","0.821","12.934","-0.9712","1.51","0.3223"
" Other          ","2.6297","1.922","0.813","-0.1047","2.9","1.6857"
