"Countries","Total","VoT","ToT"
"Argentina    ",0.000977626066031184,0.000723914891868371,0.000253711174162813
"Australia    ",0.00015904003263461,-0.000225813901834518,0.000384853934469127
"Austria      ",-0.0042782444380188,-0.00206662520529057,-0.00221161923272824
"Brazil       ",-0.00209594118861927,8.38079442718552e-05,-0.00217974913289112
"Canada       ",-0.063816380237596,0.0442859047124477,-0.108102284950044
"Chile        ",0.0103067360272856,0.00126836599117133,0.00903837003611427
"China        ",-0.0279859076576491,-0.0219371441959213,-0.00604876346172779
"Denmark      ",-0.00155862730451541,-0.000910268929146185,-0.000648358375369227
"Finland      ",-0.000535104653009879,-0.000609589424440167,7.44847714302879e-05
"France       ",-0.00384083735161149,-0.00119821840590101,-0.00264261894571049
"Germany      ",-0.00476206365601992,-0.00132921066606821,-0.00343285298995172
"Greece       ",0.000465487747901615,-0.000490085161135732,0.000955572909037346
"Hungary      ",-0.00320346110248601,-0.00156742340230799,-0.00163603770017802
"India        ",-0.00481174298239264,-0.0026162409992139,-0.00219550198317874
"Indonesia    ",-0.00100874146314855,-0.00117933786573983,0.000170596402591271
"Ireland      ",-0.0176974581337662,-0.00571889545603164,-0.0119785626777346
"Italy        ",-0.00346597396311437,-0.000957076221754977,-0.00250889774135939
"Japan        ",-0.00656265067400814,-0.00149931402205278,-0.00506333665195535
"Korea        ",-0.0284650181599183,-0.0107772636041085,-0.0176877545558097
"Mexico       ",1.31211368663391,1.72388489432891,-0.411771207694997
"Netherlands  ",-0.00536515830736355,-0.00218630742087761,-0.00317885088648594
"New Zealand  ",0.00190609925863588,-0.00022569438931949,0.00213179364795537
"Norway       ",0.0034808072649816,-0.000641822846887944,0.00412263011186955
"Portugal     ",-0.00264722712063016,-0.000916519268247103,-0.00173070785238306
"SouthAfrica  ",0.00341275368762794,0.00159551711373469,0.00181723657389325
"Spain        ",-0.00797459707249098,-0.00137740519950461,-0.00659719187298637
"Sweden       ",-0.00851958158908519,-0.00244917348412218,-0.00607040810496301
"Turkey       ",-0.00125344407474182,-0.000646959374043692,-0.000606484700698125
"UK           ",-0.00457486290270152,-0.00158616778972263,-0.00298869511297889
"USA          ",0.0847533085029548,0.0412217819499872,0.0435315265529677
"ROW          ",-0.00333173675958979,-0.00190142462551069,-0.00143031213407911
